source_file,ground_truth_label,sample_rate,duration_sec,total_rms_energy,drone_band_energy,drone_band_ratio,spectral_centroid_hz,dominant_freq_hz,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,drone_detected,confidence,classification,error
drone-98018.wav,1,16000,0.5,0.259674,44118.684,0.8554,2115.86,273.44,-8.79,6.49,3.98,1.35,-1.15,true,0.85,unknown_aircraft,
drone-98019.wav,1,16000,0.5,0.262194,44120.0276,0.8633,2140.17,273.44,-8.31,6.41,3.47,1.24,-0.96,true,0.85,unknown_aircraft,
drone-9802.wav,1,16000,0.5,0.27932,50611.3017,0.8414,2649.26,304.69,-8.0,2.89,2.28,0.01,-2.03,true,0.85,unknown_aircraft,
drone-98020.wav,1,16000,0.5,0.278711,50031.1153,0.8597,2039.8,273.44,-9.93,7.06,4.95,1.23,-1.84,true,0.85,unknown_aircraft,
drone-98021.wav,1,16000,0.5,0.263897,45293.849,0.8482,2046.43,273.44,-8.57,6.66,3.66,1.17,-1.26,true,0.85,unknown_aircraft,
drone-98022.wav,1,16000,0.5,0.275985,50263.0322,0.88,2067.76,273.44,-8.73,6.78,3.92,1.09,-1.26,true,0.85,unknown_aircraft,
drone-98023.wav,1,16000,0.5,0.262746,44417.4132,0.8677,2037.61,273.44,-9.6,6.73,4.61,1.34,-1.53,true,0.85,unknown_aircraft,
drone-98024.wav,1,16000,0.5,0.264565,46960.832,0.8797,1914.53,273.44,-9.96,7.24,4.4,1.33,-1.57,true,0.85,unknown_aircraft,
drone-98025.wav,1,16000,0.5,0.258104,44000.1556,0.8519,2121.34,273.44,-8.32,6.43,3.41,1.36,-0.99,true,0.85,unknown_aircraft,
drone-98026.wav,1,16000,0.5,0.265214,43060.2761,0.8407,2017.04,265.62,-9.85,6.95,4.28,1.63,-1.33,true,0.85,unknown_aircraft,
drone-98027.wav,1,16000,0.5,0.257036,42826.0918,0.8535,1911.84,273.44,-10.01,7.05,4.43,1.66,-1.59,true,0.85,unknown_aircraft,
drone-98028.wav,1,16000,0.5,0.262391,46648.3013,0.8882,2129.91,273.44,-9.1,6.27,4.53,1.91,-1.34,true,0.85,unknown_aircraft,
drone-98029.wav,1,16000,0.5,0.25849,41525.9206,0.8752,2259.35,265.62,-8.3,5.81,4.01,1.42,-1.02,true,0.85,unknown_aircraft,
drone-9803.wav,1,16000,0.5,0.271496,44323.7576,0.7943,2426.79,281.25,-8.05,3.58,1.44,1.28,-2.4,true,0.85,unknown_aircraft,
drone-98030.wav,1,16000,0.5,0.264201,41479.3321,0.8325,2289.52,273.44,-7.03,5.7,2.86,1.46,-0.67,true,0.85,unknown_aircraft,
drone-98031.wav,1,16000,0.5,0.264766,44086.9606,0.8637,2191.41,273.44,-8.71,6.27,4.08,1.13,-1.2,true,0.85,unknown_aircraft,
drone-98032.wav,1,16000,0.5,0.260282,43470.397,0.8705,2004.87,273.44,-8.56,7.07,2.78,1.38,-1.02,true,0.85,unknown_aircraft,
drone-98033.wav,1,16000,0.5,0.270786,49773.299,0.8798,1934.22,281.25,-8.45,7.05,2.96,1.14,-0.96,true,0.85,unknown_aircraft,
drone-98034.wav,1,16000,0.5,0.276249,50705.7349,0.8816,2016.36,273.44,-8.82,6.97,3.46,1.21,-1.35,true,0.85,unknown_aircraft,
drone-98035.wav,1,16000,0.5,0.276642,46351.5718,0.846,1971.74,273.44,-9.67,7.19,4.31,1.45,-1.51,true,0.85,unknown_aircraft,
drone-98036.wav,1,16000,0.5,0.272026,48712.6526,0.8575,1948.53,273.44,-9.77,7.21,4.2,1.65,-1.45,true,0.85,unknown_aircraft,
drone-98037.wav,1,16000,0.5,0.263508,46218.285,0.8706,1989.3,273.44,-10.06,7.09,4.6,1.35,-1.55,true,0.85,unknown_aircraft,
drone-98038.wav,1,16000,0.5,0.25744,42447.3215,0.8703,1885.43,265.62,-10.17,7.26,4.53,1.46,-1.34,true,0.85,unknown_aircraft,
drone-98039.wav,1,16000,0.5,0.275803,44285.0293,0.8552,1915.5,273.44,-10.32,7.36,4.79,1.29,-1.62,true,0.85,unknown_aircraft,
drone-9804.wav,1,16000,0.5,0.274706,47385.5156,0.8232,2645.35,304.69,-7.45,2.86,1.67,-0.16,-1.78,true,0.85,unknown_aircraft,
drone-98040.wav,1,16000,0.5,0.280012,49439.3691,0.8486,2036.55,281.25,-9.83,7.01,4.73,1.12,-1.76,true,0.85,unknown_aircraft,
drone-98041.wav,1,16000,0.5,0.282393,49387.6787,0.8587,1838.55,273.44,-10.99,7.73,5.09,1.06,-2.19,true,0.85,unknown_aircraft,
drone-98042.wav,1,16000,0.5,0.285377,53648.1358,0.8766,2006.28,281.25,-9.02,6.85,4.12,0.91,-1.17,true,0.85,unknown_aircraft,
drone-98043.wav,1,16000,0.5,0.281645,54274.5568,0.8859,2020.45,281.25,-9.0,6.74,3.71,1.01,-1.31,true,0.85,unknown_aircraft,
drone-98044.wav,1,16000,0.5,0.266993,46307.5084,0.8603,2107.7,273.44,-8.31,6.6,3.43,1.07,-1.13,true,0.85,unknown_aircraft,
drone-98045.wav,1,16000,0.5,0.276036,48732.6285,0.8581,2178.28,281.25,-7.81,6.12,3.36,1.17,-1.09,true,0.85,unknown_aircraft,
drone-98046.wav,1,16000,0.5,0.270365,49008.6432,0.8825,1952.02,281.25,-9.68,7.18,4.05,1.1,-1.35,true,0.85,unknown_aircraft,
drone-98047.wav,1,16000,0.5,0.270955,48715.3496,0.8763,2030.04,273.44,-9.21,6.9,3.84,1.2,-1.4,true,0.85,unknown_aircraft,
drone-98048.wav,1,16000,0.5,0.276082,50400.93,0.858,1882.31,273.44,-10.54,7.43,4.91,1.23,-1.88,true,0.85,unknown_aircraft,
drone-98049.wav,1,16000,0.5,0.264074,44819.3769,0.8724,2038.23,273.44,-9.65,6.78,4.41,1.46,-1.42,true,0.85,unknown_aircraft,
drone-9805.wav,1,16000,0.5,0.292454,49965.0706,0.8053,2498.39,304.69,-7.27,3.64,2.24,-0.07,-1.8,true,0.85,unknown_aircraft,
drone-98050.wav,1,16000,0.5,0.259988,42351.0121,0.8274,2172.2,273.44,-7.55,6.24,2.64,1.05,-0.77,true,0.85,unknown_aircraft,
drone-98051.wav,1,16000,0.5,0.261567,44565.9002,0.8666,2059.07,273.44,-8.84,6.79,3.58,1.12,-1.21,true,0.85,unknown_aircraft,
drone-98052.wav,1,16000,0.5,0.263249,45308.0815,0.8664,2076.27,273.44,-8.77,6.66,3.79,1.14,-1.24,true,0.85,unknown_aircraft,
drone-98053.wav,1,16000,0.5,0.263173,45489.384,0.869,2021.87,273.44,-9.15,7.05,3.79,1.1,-1.4,true,0.85,unknown_aircraft,
drone-98054.wav,1,16000,0.5,0.256833,41925.575,0.8761,1996.89,273.44,-9.19,6.93,3.9,1.61,-1.52,true,0.85,unknown_aircraft,
drone-98055.wav,1,16000,0.5,0.25749,43556.6881,0.8591,2222.84,265.62,-8.55,6.22,3.94,1.29,-1.06,true,0.85,unknown_aircraft,
drone-98056.wav,1,16000,0.5,0.262938,44576.364,0.8862,2010.19,273.44,-9.26,6.8,4.14,1.82,-1.18,true,0.85,unknown_aircraft,
drone-98057.wav,1,16000,0.5,0.258667,42780.6626,0.8663,2047.67,273.44,-9.11,6.77,3.83,1.42,-1.25,true,0.85,unknown_aircraft,
drone-98058.wav,1,16000,0.5,0.263283,44834.6458,0.855,2170.29,273.44,-8.34,6.37,3.63,0.94,-1.11,true,0.85,unknown_aircraft,
drone-98059.wav,1,16000,0.5,0.266529,47958.6401,0.8831,1975.25,281.25,-9.56,6.9,3.87,1.43,-1.2,true,0.85,unknown_aircraft,
drone-9806.wav,1,16000,0.5,0.291134,51618.6154,0.8116,2493.74,304.69,-7.48,3.52,1.78,-0.21,-2.1,true,0.85,unknown_aircraft,
drone-98060.wav,1,16000,0.5,0.266609,45811.9553,0.8634,2010.62,273.44,-8.85,6.9,3.39,1.08,-1.16,true,0.85,unknown_aircraft,
drone-98061.wav,1,16000,0.5,0.276861,51088.6759,0.867,1976.26,273.44,-9.81,7.16,4.22,1.38,-1.55,true,0.85,unknown_aircraft,
drone-98062.wav,1,16000,0.5,0.257109,39839.586,0.8718,2118.48,265.62,-9.05,6.5,4.08,1.33,-1.07,true,0.85,unknown_aircraft,
drone-98063.wav,1,16000,0.5,0.277186,51557.4844,0.8577,1901.4,273.44,-10.38,7.34,4.71,1.3,-1.66,true,0.85,unknown_aircraft,
drone-98064.wav,1,16000,0.5,0.278872,53037.6094,0.8796,2110.92,281.25,-8.38,6.37,3.2,1.15,-1.14,true,0.85,unknown_aircraft,
drone-98065.wav,1,16000,0.5,0.288796,53835.644,0.8834,1959.18,281.25,-10.05,7.05,4.84,1.1,-1.94,true,0.85,unknown_aircraft,
drone-98066.wav,1,16000,0.5,0.270507,47514.9639,0.8859,2124.08,281.25,-9.25,6.45,4.07,1.18,-1.47,true,0.85,unknown_aircraft,
drone-98067.wav,1,16000,0.5,0.266532,45236.5441,0.8745,2106.99,273.44,-8.52,6.28,4.09,1.7,-1.15,true,0.85,unknown_aircraft,
drone-98068.wav,1,16000,0.5,0.276348,52916.3606,0.8982,2036.35,281.25,-9.22,6.76,4.12,1.34,-1.59,true,0.85,unknown_aircraft,
drone-98069.wav,1,16000,0.5,0.277993,49905.4223,0.8804,2132.81,281.25,-8.41,6.36,3.41,1.33,-1.12,true,0.85,unknown_aircraft,
drone-9807.wav,1,16000,0.5,0.29653,53957.5503,0.8413,2473.77,304.69,-7.82,3.81,2.58,0.44,-1.91,true,0.85,unknown_aircraft,
drone-98070.wav,1,16000,0.5,0.291299,53083.5108,0.8267,1910.08,281.25,-9.85,7.4,4.56,1.23,-1.68,true,0.85,unknown_aircraft,
drone-98071.wav,1,16000,0.5,0.274682,49785.0956,0.8882,2003.44,281.25,-9.11,6.77,4.24,1.5,-1.28,true,0.85,unknown_aircraft,
drone-98072.wav,1,16000,0.5,0.271007,49027.2865,0.8766,2071.3,281.25,-8.73,6.64,3.53,1.28,-1.22,true,0.85,unknown_aircraft,
drone-98073.wav,1,16000,0.5,0.286419,52468.9093,0.8669,2011.17,281.25,-9.7,6.83,4.62,1.62,-1.67,true,0.85,unknown_aircraft,
drone-98074.wav,1,16000,0.5,0.284483,51988.3195,0.8392,1970.93,281.25,-9.66,7.19,4.34,1.14,-1.45,true,0.85,unknown_aircraft,
drone-98075.wav,1,16000,0.5,0.279472,49078.2567,0.8739,2102.86,281.25,-8.64,6.61,3.77,1.02,-1.34,true,0.85,unknown_aircraft,
drone-98076.wav,1,16000,0.5,0.277204,47356.5443,0.8472,1982.43,273.44,-9.63,7.11,4.33,1.22,-1.52,true,0.85,unknown_aircraft,
drone-98077.wav,1,16000,0.5,0.283992,52340.6746,0.8661,2044.07,281.25,-8.63,6.81,3.38,0.77,-1.3,true,0.85,unknown_aircraft,
drone-98078.wav,1,16000,0.5,0.287964,56849.6589,0.9024,1926.28,281.25,-9.94,7.18,4.6,1.32,-1.43,true,0.85,unknown_aircraft,
drone-98079.wav,1,16000,0.5,0.275472,49277.9657,0.8639,2031.99,281.25,-8.77,6.88,3.65,0.91,-1.11,true,0.85,unknown_aircraft,
drone-9808.wav,1,16000,0.5,0.321663,53895.3787,0.7721,2560.07,304.69,-7.72,3.22,2.03,-0.17,-2.39,true,0.85,unknown_aircraft,
drone-98080.wav,1,16000,0.5,0.278684,51371.6736,0.8843,1853.75,281.25,-10.27,7.55,4.48,0.92,-1.62,true,0.85,unknown_aircraft,
drone-98081.wav,1,16000,0.5,0.276569,49025.2538,0.8636,2184.9,281.25,-8.26,6.24,3.77,1.06,-1.01,true,0.85,unknown_aircraft,
drone-98082.wav,1,16000,0.5,0.279717,52117.8295,0.8865,1966.52,281.25,-9.64,7.2,4.04,1.03,-1.4,true,0.85,unknown_aircraft,
drone-98083.wav,1,16000,0.5,0.279821,52887.2303,0.8756,1987.01,281.25,-8.85,6.95,3.75,1.31,-0.89,true,0.85,unknown_aircraft,
drone-98084.wav,1,16000,0.5,0.27518,48618.2634,0.8458,2038.34,281.25,-7.28,6.8,2.13,0.89,-0.74,true,0.85,unknown_aircraft,
drone-98085.wav,1,16000,0.5,0.294806,54316.1835,0.8331,1923.77,281.25,-9.14,7.36,4.0,1.06,-1.53,true,0.85,unknown_aircraft,
drone-98086.wav,1,16000,0.5,0.275562,48406.4917,0.8692,2104.97,273.44,-8.27,6.46,4.12,1.4,-1.32,true,0.85,unknown_aircraft,
drone-98087.wav,1,16000,0.5,0.27624,49822.5354,0.8582,1968.61,273.44,-9.66,7.25,4.45,1.44,-1.61,true,0.85,unknown_aircraft,
drone-98088.wav,1,16000,0.5,0.278691,49008.4976,0.8779,1958.22,281.25,-9.0,7.13,3.81,0.83,-1.55,true,0.85,unknown_aircraft,
drone-98089.wav,1,16000,0.5,0.272439,50305.566,0.8868,2083.15,273.44,-9.11,6.61,4.55,1.65,-1.25,true,0.85,unknown_aircraft,
drone-9809.wav,1,16000,0.5,0.321447,61527.9472,0.8116,2488.57,304.69,-8.09,3.36,1.68,0.09,-2.42,true,0.85,unknown_aircraft,
drone-98090.wav,1,16000,0.5,0.284456,52893.0557,0.8776,2021.81,281.25,-8.98,7.07,3.96,1.05,-1.48,true,0.85,unknown_aircraft,
drone-98091.wav,1,16000,0.5,0.302284,58976.9079,0.8661,1917.35,281.25,-9.35,7.62,4.08,0.9,-1.61,true,0.85,unknown_aircraft,
drone-98092.wav,1,16000,0.5,0.284815,53469.1334,0.8784,1970.96,281.25,-8.1,6.94,3.6,1.45,-1.1,true,0.85,unknown_aircraft,
drone-98093.wav,1,16000,0.5,0.278905,50108.397,0.8546,1950.18,281.25,-8.49,7.23,3.23,0.63,-1.12,true,0.85,unknown_aircraft,
drone-98094.wav,1,16000,0.5,0.276701,48849.9201,0.8451,2007.39,281.25,-8.48,6.99,3.54,0.51,-0.98,true,0.85,unknown_aircraft,
drone-98095.wav,1,16000,0.5,0.274479,49091.57,0.8775,2014.18,273.44,-8.75,6.81,4.33,1.68,-1.42,true,0.85,unknown_aircraft,
drone-98096.wav,1,16000,0.5,0.275418,50344.0839,0.8594,2154.06,281.25,-7.65,6.29,3.03,1.12,-0.88,true,0.85,unknown_aircraft,
drone-98097.wav,1,16000,0.5,0.294181,51681.2854,0.8324,1859.95,281.25,-9.49,7.69,4.26,0.85,-1.73,true,0.85,unknown_aircraft,
drone-98098.wav,1,16000,0.5,0.29334,56318.0965,0.8548,1873.26,281.25,-9.25,7.64,3.84,0.83,-1.75,true,0.85,unknown_aircraft,
drone-98099.wav,1,16000,0.5,0.278629,51332.2101,0.8752,1987.57,281.25,-8.63,7.07,3.33,0.73,-1.05,true,0.85,unknown_aircraft,
drone-981.wav,1,16000,1.024,0.08762,486.3195,0.0989,2789.5,539.06,-15.64,1.48,2.51,0.89,-0.35,true,0.8087,unknown_aircraft,
drone-9810.wav,1,16000,0.5,0.325553,56805.7241,0.8218,2495.77,304.69,-8.4,3.29,1.9,-0.17,-2.75,true,0.85,unknown_aircraft,
drone-98100.wav,1,16000,0.5,0.280415,52992.2663,0.8865,1941.48,281.25,-9.0,7.13,3.9,1.14,-1.58,true,0.85,unknown_aircraft,
drone-98101.wav,1,16000,0.5,0.272334,47516.8119,0.8504,2143.44,273.44,-8.2,6.42,3.97,1.0,-1.25,true,0.85,unknown_aircraft,
drone-98102.wav,1,16000,0.5,0.275894,51169.6455,0.8836,2085.87,281.25,-9.18,6.83,3.96,0.74,-1.44,true,0.85,unknown_aircraft,
drone-98103.wav,1,16000,0.5,0.279491,50926.6273,0.8823,1942.72,281.25,-10.38,7.35,4.71,1.24,-2.02,true,0.85,unknown_aircraft,
drone-98104.wav,1,16000,0.5,0.281055,51921.7194,0.8385,1920.19,281.25,-10.1,7.49,4.57,1.09,-1.85,true,0.85,unknown_aircraft,
drone-98105.wav,1,16000,0.5,0.283718,54031.2543,0.8996,1950.64,281.25,-10.02,7.34,4.65,0.7,-1.78,true,0.85,unknown_aircraft,
drone-98106.wav,1,16000,0.5,0.272196,48362.7881,0.8814,1980.45,273.44,-9.47,7.21,3.93,0.98,-1.48,true,0.85,unknown_aircraft,
drone-98107.wav,1,16000,0.5,0.269377,47984.7261,0.879,2018.96,281.25,-8.68,6.66,4.0,1.87,-0.93,true,0.85,unknown_aircraft,
drone-98108.wav,1,16000,0.5,0.273569,51063.5279,0.8992,1809.31,281.25,-10.75,7.74,4.76,1.25,-1.75,true,0.85,unknown_aircraft,
drone-98109.wav,1,16000,0.5,0.272701,49659.5185,0.889,1917.7,273.44,-9.94,7.44,4.08,0.98,-1.63,true,0.85,unknown_aircraft,
drone-9811.wav,1,16000,0.5,0.315079,55263.6125,0.8464,2439.86,304.69,-7.71,4.0,2.68,0.59,-1.94,true,0.85,unknown_aircraft,
drone-98110.wav,1,16000,0.5,0.274113,46781.2838,0.8448,2217.76,273.44,-7.74,6.06,3.43,1.31,-1.02,true,0.85,unknown_aircraft,
drone-98111.wav,1,16000,0.5,0.275063,49730.4661,0.8644,2042.35,281.25,-8.47,6.71,3.88,1.15,-1.15,true,0.85,unknown_aircraft,
drone-98112.wav,1,16000,0.5,0.274359,48343.7237,0.8621,2260.24,273.44,-8.12,5.84,4.13,1.69,-1.03,true,0.85,unknown_aircraft,
drone-98113.wav,1,16000,0.5,0.276466,54193.1502,0.8993,1989.16,273.44,-8.89,6.82,4.13,1.8,-1.22,true,0.85,unknown_aircraft,
drone-98114.wav,1,16000,0.5,0.267828,44251.4717,0.8516,2129.62,273.44,-7.96,6.37,3.05,1.24,-0.94,true,0.85,unknown_aircraft,
drone-98115.wav,1,16000,0.5,0.268817,48028.1138,0.8862,2019.49,281.25,-9.13,6.84,3.93,1.48,-1.45,true,0.85,unknown_aircraft,
drone-98116.wav,1,16000,0.5,0.26717,45530.9998,0.8523,1999.97,273.44,-8.86,6.9,3.58,1.3,-1.25,true,0.85,unknown_aircraft,
drone-98117.wav,1,16000,0.5,0.275789,49846.7578,0.8678,2016.59,273.44,-8.22,6.71,4.03,1.61,-1.22,true,0.85,unknown_aircraft,
drone-98118.wav,1,16000,0.5,0.269283,47466.4495,0.8545,2561.38,273.44,-8.08,5.31,4.64,1.39,-1.39,true,0.85,unknown_aircraft,
drone-98119.wav,1,16000,0.5,0.284543,54693.7309,0.8807,2001.99,281.25,-8.91,7.06,3.88,1.2,-1.48,true,0.85,unknown_aircraft,
drone-9812.wav,1,16000,0.5,0.285775,52011.0421,0.8248,2560.61,296.88,-7.73,3.16,1.13,-0.47,-2.05,true,0.85,unknown_aircraft,
drone-98120.wav,1,16000,0.5,0.276271,50056.3026,0.8723,2151.2,281.25,-7.91,6.24,3.06,1.71,-1.5,true,0.85,unknown_aircraft,
drone-98121.wav,1,16000,0.5,0.283422,54308.4379,0.8923,1947.7,281.25,-8.76,7.19,3.42,0.83,-1.55,true,0.85,unknown_aircraft,
drone-98122.wav,1,16000,0.5,0.278169,52245.4497,0.8736,1876.82,281.25,-9.96,7.4,4.62,1.12,-1.56,true,0.85,unknown_aircraft,
drone-98123.wav,1,16000,0.5,0.274059,51082.6936,0.8891,2017.56,281.25,-9.67,6.86,4.22,0.83,-1.56,true,0.85,unknown_aircraft,
drone-98124.wav,1,16000,0.5,0.296044,55694.2716,0.8356,1993.88,273.44,-9.01,7.06,4.44,1.29,-1.61,true,0.85,unknown_aircraft,
drone-98125.wav,1,16000,0.5,0.27502,50327.7065,0.9051,1876.81,281.25,-10.01,7.44,4.25,1.08,-1.74,true,0.85,unknown_aircraft,
drone-98126.wav,1,16000,0.5,0.290198,55434.2147,0.8812,1782.59,281.25,-10.73,8.0,4.45,0.73,-1.88,true,0.85,unknown_aircraft,
drone-98127.wav,1,16000,0.5,0.28072,53889.2444,0.8904,1877.64,281.25,-9.74,7.6,3.63,0.62,-1.49,true,0.85,unknown_aircraft,
drone-98128.wav,1,16000,0.5,0.300196,62938.9855,0.8867,1879.15,289.06,-10.53,7.53,4.78,0.75,-2.18,true,0.85,unknown_aircraft,
drone-98129.wav,1,16000,0.5,0.286073,52446.3024,0.8642,1960.19,273.44,-9.56,7.2,4.68,1.24,-1.68,true,0.85,unknown_aircraft,
drone-9813.wav,1,16000,0.5,0.298841,49071.3299,0.7615,2555.9,296.88,-7.65,3.39,1.28,-0.7,-2.19,true,0.85,unknown_aircraft,
drone-98130.wav,1,16000,0.5,0.276781,51595.4147,0.9026,1789.05,289.06,-10.54,7.94,3.74,0.58,-1.55,true,0.85,unknown_aircraft,
drone-98131.wav,1,16000,0.5,0.287413,56993.4121,0.8968,2009.86,281.25,-9.21,6.88,3.81,1.29,-1.57,true,0.85,unknown_aircraft,
drone-98132.wav,1,16000,0.5,0.282762,54190.3219,0.8935,1983.33,281.25,-9.57,7.0,3.74,1.03,-1.55,true,0.85,unknown_aircraft,
drone-98133.wav,1,16000,0.5,0.289384,57615.2218,0.9007,1986.6,281.25,-9.56,7.02,4.08,0.96,-1.38,true,0.85,unknown_aircraft,
drone-98134.wav,1,16000,0.5,0.281428,52912.0412,0.8708,2221.29,281.25,-6.76,5.61,2.42,1.78,-1.06,true,0.85,unknown_aircraft,
drone-98135.wav,1,16000,0.5,0.282697,54022.8305,0.898,1807.21,281.25,-11.11,7.78,5.05,0.93,-2.2,true,0.85,unknown_aircraft,
drone-98136.wav,1,16000,0.5,0.289051,57290.2358,0.8961,2039.9,281.25,-9.5,6.85,4.55,1.09,-1.57,true,0.85,unknown_aircraft,
drone-98137.wav,1,16000,0.5,0.263374,43896.4539,0.8813,2029.42,265.62,-9.39,6.69,4.51,1.89,-1.41,true,0.85,unknown_aircraft,
drone-98138.wav,1,16000,0.5,0.293537,58016.2306,0.8787,1954.37,281.25,-9.9,7.32,4.44,0.91,-1.89,true,0.85,unknown_aircraft,
drone-98139.wav,1,16000,0.5,0.266527,45325.7209,0.876,1949.04,281.25,-9.1,7.14,3.51,0.85,-1.16,true,0.85,unknown_aircraft,
drone-9814.wav,1,16000,0.5,0.262143,41184.9485,0.8142,2393.2,281.25,-8.04,3.86,1.68,1.37,-2.11,true,0.85,unknown_aircraft,
drone-98140.wav,1,16000,0.5,0.281753,52097.8011,0.8631,1910.53,281.25,-9.14,7.26,3.81,0.71,-1.37,true,0.85,unknown_aircraft,
drone-98141.wav,1,16000,0.5,0.274483,49400.6012,0.8808,1970.71,281.25,-9.24,7.07,3.74,1.14,-1.22,true,0.85,unknown_aircraft,
drone-98142.wav,1,16000,0.5,0.273388,50375.1488,0.8884,2028.86,281.25,-9.19,6.91,4.02,1.22,-1.46,true,0.85,unknown_aircraft,
drone-98143.wav,1,16000,0.5,0.271135,49967.4414,0.8915,1920.51,281.25,-9.2,7.19,3.25,1.29,-1.2,true,0.85,unknown_aircraft,
drone-98144.wav,1,16000,0.5,0.271713,49326.5532,0.8732,2136.11,281.25,-8.58,6.42,3.46,1.12,-1.17,true,0.85,unknown_aircraft,
drone-98145.wav,1,16000,0.5,0.274342,50519.1213,0.8831,2003.85,281.25,-8.36,6.61,3.77,1.8,-0.86,true,0.85,unknown_aircraft,
drone-98146.wav,1,16000,0.5,0.27735,48013.4981,0.8214,1801.88,281.25,-10.43,7.94,4.34,0.82,-1.72,true,0.85,unknown_aircraft,
drone-98147.wav,1,16000,0.5,0.282108,51866.6044,0.8651,1905.69,281.25,-9.97,7.54,4.05,1.02,-1.56,true,0.85,unknown_aircraft,
drone-98148.wav,1,16000,0.5,0.273433,49769.4176,0.8883,1834.12,281.25,-10.39,7.61,4.33,1.15,-1.6,true,0.85,unknown_aircraft,
drone-98149.wav,1,16000,0.5,0.274674,48823.6368,0.8846,2053.87,281.25,-9.62,6.79,4.25,0.76,-1.37,true,0.85,unknown_aircraft,
